Employee_ID,Job_Role,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Access_to_Mental_Health_Resources,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality
EMP0001,HR,47,7,2,Medium,No,Unsatisfied,1,Weekly,Good
EMP0002,Data Scientist,52,4,1,Medium,No,Satisfied,2,Weekly,Good
EMP0003,Software Engineer,46,11,5,Medium,No,Unsatisfied,5,None,Poor
EMP0004,Software Engineer,32,8,4,High,Yes,Unsatisfied,3,None,Poor
EMP0005,Sales,35,12,2,High,Yes,Unsatisfied,3,Weekly,Average
EMP0006,Sales,39,3,4,High,No,Unsatisfied,1,None,Average
EMP0007,Sales,51,7,3,Low,Yes,Neutral,3,Daily,Poor
EMP0008,Data Scientist,54,7,3,Medium,No,Satisfied,4,None,Average
EMP0009,Data Scientist,24,4,2,High,Yes,Unsatisfied,4,Daily,Poor
EMP0010,HR,57,6,1,Low,Yes,Neutral,1,Weekly,Poor
EMP0011,Software Engineer,48,3,3,High,Yes,Satisfied,2,Weekly,Average
EMP0012,Marketing,26,12,4,Medium,Yes,Neutral,3,Weekly,Poor
EMP0013,Marketing,21,7,2,High,Yes,Neutral,1,Weekly,Good
EMP0014,Designer,45,13,1,Low,No,Satisfied,5,Weekly,Poor
EMP0015,Project Manager,59,11,3,High,Yes,Neutral,3,Weekly,Average
EMP0016,Sales,44,11,4,Low,No,Satisfied,4,Weekly,Average
EMP0017,HR,52,9,2,Medium,No,Satisfied,1,Weekly,Good
EMP0018,Data Scientist,37,8,3,Low,Yes,Neutral,5,Weekly,Good
EMP0019,Software Engineer,36,6,1,High,No,Satisfied,2,Weekly,Good
EMP0020,Software Engineer,59,4,3,Medium,No,Neutral,1,Daily,Average
EMP0021,Sales,21,1,2,Low,No,Satisfied,1,Weekly,Poor
EMP0022,Sales,54,12,3,Medium,No,Unsatisfied,4,Daily,Poor
EMP0023,Sales,57,1,3,Low,Yes,Satisfied,4,Daily,Average
EMP0024,Marketing,22,12,5,Low,No,Neutral,3,Weekly,Poor
EMP0025,Sales,54,15,3,Low,No,Neutral,4,Daily,Average
EMP0026,Project Manager,21,14,4,High,No,Neutral,3,None,Good
EMP0027,Project Manager,24,12,3,High,No,Unsatisfied,4,None,Poor
EMP0028,Project Manager,56,4,4,Low,No,Unsatisfied,4,None,Poor
EMP0029,Sales,33,10,3,High,Yes,Satisfied,1,Daily,Poor
EMP0030,Software Engineer,25,15,2,High,Yes,Satisfied,1,Weekly,Poor
EMP0031,Data Scientist,20,11,1,Low,Yes,Neutral,2,Weekly,Average
EMP0032,Marketing,33,14,2,Medium,No,Satisfied,5,None,Average
EMP0033,Project Manager,20,14,2,Medium,Yes,Satisfied,5,Daily,Good
EMP0034,Software Engineer,26,9,3,Medium,Yes,Neutral,4,Daily,Average
